THE LITTLE GREBE,الغطاس الصغير
THE FROG-HEADED LIZARD,السحلية ضفدعية الرأس
THE WESTERN GREAT EGRET,البلشون الكبير الغربي
THE DESERT HARE,الأرنب البري
THE HOOPOE,طائر الهدهد
RUPPELL’S FOX,ثعلب روبل
THE IRAQI SANDGROUSE,القطا العراقي
THE WATER RAIL,طائر مرعة الماء
THE ARABIAN GREEN BEE-EATER,الوروار العربي الأخضر
THE DESERT MONITOR,الورل الصحراوي
THE PURPLE SUNBIRD,طائر التمير الأرجواني
THE BLUE-THROATED WAGTAIL,طائر بنت الصباغ أو الهزاز أزرق الحلق
THE LONG-TAILED DESERT GERBIL,الفأر طويل الذيل الصحراوي
THE YELLOW WAGTAILS,طائر الهزاز الأصفر
THE SANDFISH LIZARD,سحلية سمكة الرمال
THE SPINY-TAILED LIZARD,سحلية الضب
THE LITTLE OWL,طائر البومة الصغيرة
THE ARABIAN ORYX,المها العربي
THE HOUBARA BUSTARD,الحبارى
THE DORCAS GAZELLE,غزال دوركاس
THE EURASIAN STONE-CURLEW,الكروان الأوراسي
THE WHITE-TAILED LAPWING,الزقزاق أبيض الذيل
THE DESERT EAGLE OWL,بومة الصحراء النسارية
THE HEDGEHOG,القنفذ
